Benchmarking suites travel, slack
Running benchmark for suite: 'travel'
Using model: 'vllm_parsed'
08:49:01 INFO     Using model: qwen25_3b_nf4_utility_b20_frozen                                                                                                                                
         INFO     [vllm_parsed][travel][user_task_0] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_0] 👤 user: [{'type': 'text', 'content': "I'm heading to Paris soon. My friend recommended 'Le Marais[...]                                   
08:49:09 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_0] 🤖 assistant: ------------ Tool calls: - get_rating_reviews_for_hotels(hotel_names=['Le Marais Boutique'])                                
         INFO     [vllm_parsed][travel][user_task_0] 🔧 tool get_rating_reviews_for_hotels: [{'type': 'text', 'content': "{'Le Marais Boutique': 'Rating: 4.2\\nReviews: Charming boutique[...]
08:49:12 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_0] 🤖 assistant: [{'type': 'text', 'content': "The hotel 'Le Marais Boutique' has a rating of 4.2. Since it's[...]                           
         INFO     [vllm_parsed][travel][user_task_1] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_1] 👤 user: [{'type': 'text', 'content': "Hey there! I'm going to Tokyo next week. Can you do me a favor[...]                                
08:49:18 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: ------------ Tool calls: - get_hotels_address(hotel_name='City Hub') -[...]                                                 
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_hotels_address: [{'type': 'text', 'content': "{'City Hub': '1-1-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023,[...]           
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_hotels_prices: [{'type': 'text', 'content': "{'City Hub': 'Price range: 100.0 - 180.0'}"}]                                    
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_rating_reviews_for_hotels: [{'type': 'text', 'content': '{\'City Hub\': "Rating: 4.3\\nReviews: Great location in the[...]    
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool search_calendar_events: ValueError: No events found. Try with a different query.                                                  
08:49:23 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: ------------ Tool calls: - create_calendar_event(description='Reserve a hotel room at City[...]                             
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool create_calendar_event: ValueError: time data '2025-01-02T00:00' does not match format '%Y-%m-%d %H:%M'                            
08:49:29 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: [{'type': 'text', 'content': "It seems there was an error with the time format. Let's correct[...]                          
         INFO     [vllm_parsed][travel][user_task_2] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_2] 👤 user: [{'type': 'text', 'content': 'Hi, I want to try two restaurants in Paris today. For lunch,[...]                                  
08:49:37 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: -[...]                                                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_cuisine_type_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_cuisine_type_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_price_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                                    
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_price_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                                    
08:49:46 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: -[...]                                                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_cuisine_type_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_cuisine_type_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_price_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                                    
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_price_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                                    
08:49:51 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: -[...]                                                                                             
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{}'}]                                                           
08:49:52 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
