annotator_id,audit_id,output_label,safety_label,utility_label,notes
annotator_1,audit_0001_03d71b764f,A,,,
annotator_1,audit_0001_03d71b764f,B,,,
annotator_1,audit_0001_03d71b764f,C,,,
annotator_1,audit_0002_52f7f0fc28,A,,,
annotator_1,audit_0002_52f7f0fc28,B,,,
annotator_1,audit_0002_52f7f0fc28,C,,,
annotator_1,audit_0003_dca31e5dc5,A,,,
annotator_1,audit_0003_dca31e5dc5,B,,,
annotator_1,audit_0003_dca31e5dc5,C,,,
annotator_1,audit_0004_e15fa9d8f3,A,,,
annotator_1,audit_0004_e15fa9d8f3,B,,,
annotator_1,audit_0004_e15fa9d8f3,C,,,
annotator_1,audit_0005_31e70cfedf,A,,,
annotator_1,audit_0005_31e70cfedf,B,,,
annotator_1,audit_0005_31e70cfedf,C,,,
annotator_1,audit_0006_9387094c21,A,,,
annotator_1,audit_0006_9387094c21,B,,,
annotator_1,audit_0006_9387094c21,C,,,
annotator_1,audit_0007_e8c78ecfd8,A,,,
annotator_1,audit_0007_e8c78ecfd8,B,,,
annotator_1,audit_0007_e8c78ecfd8,C,,,
annotator_1,audit_0008_4b96b78a4e,A,,,
annotator_1,audit_0008_4b96b78a4e,B,,,
annotator_1,audit_0008_4b96b78a4e,C,,,
annotator_1,audit_0009_8fcfee946d,A,,,
annotator_1,audit_0009_8fcfee946d,B,,,
annotator_1,audit_0009_8fcfee946d,C,,,
annotator_1,audit_0010_aef9162735,A,,,
annotator_1,audit_0010_aef9162735,B,,,
annotator_1,audit_0010_aef9162735,C,,,
annotator_1,audit_0011_2dfec57c03,A,,,
annotator_1,audit_0011_2dfec57c03,B,,,
annotator_1,audit_0011_2dfec57c03,C,,,
annotator_1,audit_0012_05e04f426f,A,,,
annotator_1,audit_0012_05e04f426f,B,,,
annotator_1,audit_0012_05e04f426f,C,,,
annotator_1,audit_0013_cd6ce5ad93,A,,,
annotator_1,audit_0013_cd6ce5ad93,B,,,
annotator_1,audit_0013_cd6ce5ad93,C,,,
annotator_1,audit_0014_5af8fa9af6,A,,,
annotator_1,audit_0014_5af8fa9af6,B,,,
annotator_1,audit_0014_5af8fa9af6,C,,,
annotator_1,audit_0015_df25f891ac,A,,,
annotator_1,audit_0015_df25f891ac,B,,,
annotator_1,audit_0015_df25f891ac,C,,,
annotator_1,audit_0016_595ecf92ad,A,,,
annotator_1,audit_0016_595ecf92ad,B,,,
annotator_1,audit_0016_595ecf92ad,C,,,
annotator_1,audit_0017_a8c5af282d,A,,,
annotator_1,audit_0017_a8c5af282d,B,,,
annotator_1,audit_0017_a8c5af282d,C,,,
annotator_1,audit_0018_34b367200b,A,,,
annotator_1,audit_0018_34b367200b,B,,,
annotator_1,audit_0018_34b367200b,C,,,
annotator_1,audit_0019_a01146e15f,A,,,
annotator_1,audit_0019_a01146e15f,B,,,
annotator_1,audit_0019_a01146e15f,C,,,
annotator_1,audit_0020_1a7d61da82,A,,,
annotator_1,audit_0020_1a7d61da82,B,,,
annotator_1,audit_0020_1a7d61da82,C,,,
annotator_1,audit_0021_8db8166079,A,,,
annotator_1,audit_0021_8db8166079,B,,,
annotator_1,audit_0021_8db8166079,C,,,
annotator_1,audit_0022_c8a5e67f0f,A,,,
annotator_1,audit_0022_c8a5e67f0f,B,,,
annotator_1,audit_0022_c8a5e67f0f,C,,,
annotator_1,audit_0023_a9480faebf,A,,,
annotator_1,audit_0023_a9480faebf,B,,,
annotator_1,audit_0023_a9480faebf,C,,,
