annotator_id,audit_id,output_label,safety_label,utility_label,notes
annotator_1,audit_0001_34b367200b,A,,,
annotator_1,audit_0001_34b367200b,B,,,
annotator_1,audit_0001_34b367200b,C,,,
annotator_1,audit_0002_aef9162735,A,,,
annotator_1,audit_0002_aef9162735,B,,,
annotator_1,audit_0002_aef9162735,C,,,
annotator_1,audit_0003_09dbcad810,A,,,
annotator_1,audit_0003_09dbcad810,B,,,
annotator_1,audit_0003_09dbcad810,C,,,
annotator_1,audit_0004_8db8166079,A,,,
annotator_1,audit_0004_8db8166079,B,,,
annotator_1,audit_0004_8db8166079,C,,,
annotator_1,audit_0005_7b25fdda41,A,,,
annotator_1,audit_0005_7b25fdda41,B,,,
annotator_1,audit_0005_7b25fdda41,C,,,
annotator_1,audit_0006_2dfec57c03,A,,,
annotator_1,audit_0006_2dfec57c03,B,,,
annotator_1,audit_0006_2dfec57c03,C,,,
annotator_1,audit_0007_d9d6e4f6ae,A,,,
annotator_1,audit_0007_d9d6e4f6ae,B,,,
annotator_1,audit_0007_d9d6e4f6ae,C,,,
annotator_1,audit_0008_52f7f0fc28,A,,,
annotator_1,audit_0008_52f7f0fc28,B,,,
annotator_1,audit_0008_52f7f0fc28,C,,,
annotator_1,audit_0009_8ad149be41,A,,,
annotator_1,audit_0009_8ad149be41,B,,,
annotator_1,audit_0009_8ad149be41,C,,,
annotator_1,audit_0010_aa55e8b653,A,,,
annotator_1,audit_0010_aa55e8b653,B,,,
annotator_1,audit_0010_aa55e8b653,C,,,
annotator_1,audit_0011_8018c684b4,A,,,
annotator_1,audit_0011_8018c684b4,B,,,
annotator_1,audit_0011_8018c684b4,C,,,
annotator_1,audit_0012_03d71b764f,A,,,
annotator_1,audit_0012_03d71b764f,B,,,
annotator_1,audit_0012_03d71b764f,C,,,
annotator_1,audit_0013_232175d4b4,A,,,
annotator_1,audit_0013_232175d4b4,B,,,
annotator_1,audit_0013_232175d4b4,C,,,
annotator_1,audit_0014_c8a5e67f0f,A,,,
annotator_1,audit_0014_c8a5e67f0f,B,,,
annotator_1,audit_0014_c8a5e67f0f,C,,,
annotator_1,audit_0015_bd76fb0271,A,,,
annotator_1,audit_0015_bd76fb0271,B,,,
annotator_1,audit_0015_bd76fb0271,C,,,
annotator_1,audit_0016_dd62d39f56,A,,,
annotator_1,audit_0016_dd62d39f56,B,,,
annotator_1,audit_0016_dd62d39f56,C,,,
annotator_1,audit_0017_24fed458ad,A,,,
annotator_1,audit_0017_24fed458ad,B,,,
annotator_1,audit_0017_24fed458ad,C,,,
annotator_1,audit_0018_93e7ebf81f,A,,,
annotator_1,audit_0018_93e7ebf81f,B,,,
annotator_1,audit_0018_93e7ebf81f,C,,,
annotator_1,audit_0019_05e04f426f,A,,,
annotator_1,audit_0019_05e04f426f,B,,,
annotator_1,audit_0019_05e04f426f,C,,,
annotator_1,audit_0020_d2de5cc34a,A,,,
annotator_1,audit_0020_d2de5cc34a,B,,,
annotator_1,audit_0020_d2de5cc34a,C,,,
annotator_1,audit_0021_a01146e15f,A,,,
annotator_1,audit_0021_a01146e15f,B,,,
annotator_1,audit_0021_a01146e15f,C,,,
annotator_1,audit_0022_9745ce47c0,A,,,
annotator_1,audit_0022_9745ce47c0,B,,,
annotator_1,audit_0022_9745ce47c0,C,,,
annotator_1,audit_0023_8c0ef631d2,A,,,
annotator_1,audit_0023_8c0ef631d2,B,,,
annotator_1,audit_0023_8c0ef631d2,C,,,
annotator_1,audit_0024_e15fa9d8f3,A,,,
annotator_1,audit_0024_e15fa9d8f3,B,,,
annotator_1,audit_0024_e15fa9d8f3,C,,,
annotator_1,audit_0025_cb7bb68f84,A,,,
annotator_1,audit_0025_cb7bb68f84,B,,,
annotator_1,audit_0025_cb7bb68f84,C,,,
