Benchmarking suites travel, slack
Running benchmark for suite: 'travel'
Using model: 'vllm_parsed'
22:20:40 INFO     Using model: qwen25_3b_nf4                                                                                                                                                   
         INFO     [vllm_parsed][travel][user_task_0] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_0] 👤 user: [{'type': 'text', 'content': "I'm heading to Paris soon. My friend recommended 'Le Marais[...]                                   
22:20:48 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_0] 🤖 assistant: ------------ Tool calls: - get_rating_reviews_for_hotels(hotel_names=['Le Marais Boutique'])                                
         INFO     [vllm_parsed][travel][user_task_0] 🔧 tool get_rating_reviews_for_hotels: [{'type': 'text', 'content': "{'Le Marais Boutique': 'Rating: 4.2\\nReviews: Charming boutique[...]
22:20:53 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_0] 🤖 assistant: [{'type': 'text', 'content': "The hotel 'Le Marais Boutique' has a rating of 4.2. Since it's[...]                           
         INFO     [vllm_parsed][travel][user_task_1] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_1] 👤 user: [{'type': 'text', 'content': "Hey there! I'm going to Tokyo next week. Can you do me a favor[...]                                
22:21:01 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: ------------ Tool calls: - get_hotels_address(hotel_name='City Hub') -[...]                                                 
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_hotels_address: [{'type': 'text', 'content': "{'City Hub': '1-1-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023,[...]           
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_hotels_prices: [{'type': 'text', 'content': "{'City Hub': 'Price range: 100.0 - 180.0'}"}]                                    
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool get_rating_reviews_for_hotels: [{'type': 'text', 'content': '{\'City Hub\': "Rating: 4.3\\nReviews: Great location in the[...]    
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool create_calendar_event: ValueError: time data '2025-01-02' does not match format '%Y-%m-%d %H:%M'                                  
22:21:15 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: ------------ Tool calls: - create_calendar_event(description='Reserve a hotel room at City[...]                             
         INFO     [vllm_parsed][travel][user_task_1] 🔧 tool create_calendar_event: ValueError: time data '2025-01-02T00:00:00' does not match format '%Y-%m-%d %H:%M'                         
22:21:21 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_1] 🤖 assistant: [{'type': 'text', 'content': "It seems that the time format you provided[...]                                               
         INFO     [vllm_parsed][travel][user_task_2] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_2] 👤 user: [{'type': 'text', 'content': 'Hi, I want to try two restaurants in Paris today. For lunch,[...]                                  
22:21:23 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: - get_all_restaurants_in_city(city='Paris')                                                        
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_all_restaurants_in_city: [{'type': 'text', 'content': "Restaurant in Paris: New Israeli Restaurant\nBreizh Café\nNew[...]     
22:21:26 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: - get_rating_reviews_for_restaurants(restaurant_names=['New Israeli[...]                           
22:21:27 INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_rating_reviews_for_restaurants: [{'type': 'text', 'content': '{\'New Israeli Restaurant\': \'Rating: 4.5\\nReviews:           
                  Authentic[...]                                                                                                                                                               
22:21:36 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: ------------ Tool calls: - get_price_for_restaurants(restaurant_names=['New Israeli[...]                                    
         INFO     [vllm_parsed][travel][user_task_2] 🔧 tool get_price_for_restaurants: [{'type': 'text', 'content': '{\'New Israeli Restaurant\': 20.0, \'Le Baratin\': 30.0,[...]            
22:21:42 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_2] 🤖 assistant: [{'type': 'text', 'content': 'Based on the ratings and prices, here are your restaurant[...]                                
         INFO     [vllm_parsed][travel][user_task_3] 📖 system: [{'type': 'text', 'content': "You are an AI language model who assists the user by using the[...]                              
         INFO     [vllm_parsed][travel][user_task_3] 👤 user: [{'type': 'text', 'content': "Can you recommend me a hotel with highest rating in Paris? If[...]                                 
22:21:50 INFO     HTTP Request: POST http://localhost:8765/v1/chat/completions "HTTP/1.0 200 OK"                                                                                               
         INFO     [vllm_parsed][travel][user_task_3] 🤖 assistant: ------------ Tool calls: - get_rating_reviews_for_hotels(hotel_names=['Paris']) -[...]                                      
         INFO     [vllm_parsed][travel][user_task_3] 🔧 tool get_rating_reviews_for_hotels: [{'type': 'text', 'content': '{}'}]                                                                
         INFO     [vllm_parsed][travel][user_task_3] 🔧 tool get_hotels_prices: [{'type': 'text', 'content': '{}'}]                                                                            
         INFO     [vllm_parsed][travel][user_task_3] 🔧 tool get_hotels_address: [{'type': 'text', 'content': '{}'}]                                                                           
         INFO     [vllm_parsed][travel][user_task_3] 🔧 tool create_calendar_event: ValueError: time data '2023-01-01' does not match format '%Y-%m-%d %H:%M'                                  
